id;title;provincie;dna;CDA,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;9.4,
000005;Bedum;Groningen;435354;15.8,
000007;Bellingwedde;Groningen;229422;4.4,
000009;Ten Boer;Groningen;334363;11.4,
000010;Delfzijl;Groningen;437715;8.7,
000014;Groningen;Groningen;931819;4,
000015;Grootegast;Groningen;223353;20.4,
000017;Haren;Groningen;598465;8.9,
000018;Hoogezand-Sappemeer;Groningen;626714;7.3,
000022;Leek;Groningen;445444;10.8,
000025;Marum;Groningen;334353;13.2,
000034;Almere;Flevoland;751918;2.7,
000037;Stadskanaal;Groningen;417415;12.7,
000040;Slochteren;Groningen;245352;7.8,
000047;Veendam;Groningen;536514;5.7,
000048;Vlagtwedde;Groningen;328452;11.1,
000024;Loppersum;Groningen;225341;14,
000050;Zeewolde;Flevoland;561554;8,
000051;Skarsterlân;Friesland;434354;15.9,
000053;Winsum;Groningen;344353;11.9,
000055;Boarnsterhim;Friesland;344344;9.2,
000056;Zuidhorn;Groningen;343363;13.8,
000058;Dongeradeel;Friesland;314324;22.9,
000059;Achtkarspelen;Friesland;314313;17.7,
000060;Ameland;Friesland;336393;15.4,
000063;het Bildt;Friesland;314432;17.5,
000070;Franekeradeel;Friesland;425432;16.3,
000072;Harlingen;Friesland;526514;8.7,
000074;Heerenveen;Friesland;646525;8.8,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;21.2,
000080;Leeuwarden;Friesland;934719;7,
000081;Leeuwarderadeel;Friesland;435444;14.4,
000082;Lemsterland;Friesland;444444;11.9,
000085;Ooststellingwerf;Friesland;326333;11.4,
000086;Opsterland;Friesland;334343;11.5,
000088;Schiermonnikoog;Friesland;358472;9.2,
000090;Smallingerland;Friesland;635516;12.5,
000093;Terschelling;Friesland;266381;9.4,
000096;Vlieland;Friesland;256471;5.9,
000098;Weststellingwerf;Friesland;426432;9.9,
000106;Assen;Drenthe;744517;7.3,
000109;Coevorden;Drenthe;336424;11.9,
000114;Emmen;Drenthe;425415;9.6,
000118;Hoogeveen;Drenthe;525426;15.4,
000119;Meppel;Drenthe;644536;8.6,
000140;Littenseradiel;Friesland;243362;19.9,
000141;Almelo;Overijssel;724917;9.9,
000147;Borne;Overijssel;655456;18.1,
000148;Dalfsen;Overijssel;344373;19.7,
000150;Deventer;Overijssel;844827;7,
000153;Enschede;Overijssel;924918;7.9,
000158;Haaksbergen;Overijssel;545555;17.2,
000160;Hardenberg;Overijssel;323354;18,
000163;Hellendoorn;Overijssel;435364;23.1,
000164;Hengelo;Overijssel;844828;11.3,
000166;Kampen;Overijssel;622555;12.6,
000168;Losser;Overijssel;436545;18,
000171;Noordoostpolder;Flevoland;433554;14.6,
000173;Oldenzaal;Overijssel;645637;14,
000175;Ommen;Overijssel;345363;20.9,
000177;Raalte;Overijssel;445363;20.5,
000180;Staphorst;Overijssel;321373;11.6,
000183;Tubbergen;Overijssel;333373;29.8,
000184;Urk;Flevoland;511376;12.7,
000189;Wierden;Overijssel;444364;22.5,
000193;Zwolle;Overijssel;852628;7.5,
000196;Rijnwaarden;Gelderland;335444;8.5,
000197;Aalten;Gelderland;425463;19.3,
000200;Apeldoorn;Gelderland;855638;8.5,
000202;Arnhem;Gelderland;943918;5,
000203;Barneveld;Gelderland;541464;14.4,
000209;Beuningen;Gelderland;564555;7.4,
000213;Brummen;Gelderland;447554;7.5,
000214;Buren;Gelderland;364373;6.7,
000216;Culemborg;Gelderland;763835;6.3,
000221;Doesburg;Gelderland;546715;7.3,
000222;Doetinchem;Gelderland;545546;8.6,
000225;Druten;Gelderland;453564;8.2,
000226;Duiven;Gelderland;654555;8.6,
000228;Ede;Gelderland;753647;11,
000230;Elburg;Gelderland;443364;13.5,
000232;Epe;Gelderland;447554;10.8,
000233;Ermelo;Gelderland;566456;15.3,
000236;Geldermalsen;Gelderland;463464;8,
000241;Groesbeek;Gelderland;457444;10.1,
000243;Harderwijk;Gelderland;653747;12.7,
000244;Hattem;Gelderland;455465;12.6,
000246;Heerde;Gelderland;446364;14.4,
000252;Heumen;Gelderland;476464;11.3,
000262;Lochem;Gelderland;468464;10.3,
000263;Maasdriel;Gelderland;354473;10.6,
000265;Millingen aan de Rijn;Gelderland;435544;6.7,
000267;Nijkerk;Gelderland;563565;12.9,
000268;Nijmegen;Gelderland;943919;4.9,
000269;Oldebroek;Gelderland;433374;13.4,
000273;Putten;Gelderland;553465;15.1,
000274;Renkum;Gelderland;588545;8.8,
000275;Rheden;Gelderland;658536;7.8,
000277;Rozendaal;Gelderland;598586;7,
000279;Scherpenzeel;Gelderland;552375;11,
000281;Tiel;Gelderland;643917;5.7,
000282;Ubbergen;Gelderland;367454;10.2,
000285;Voorst;Gelderland;456364;13.5,
000289;Wageningen;Gelderland;743847;6.1,
000293;Westervoort;Gelderland;644626;7.4,
000294;Winterswijk;Gelderland;626546;8.7,
000296;Wijchen;Gelderland;654445;9,
000297;Zaltbommel;Gelderland;452564;8,
000299;Zevenaar;Gelderland;646546;9.9,
000301;Zutphen;Gelderland;744627;6.1,
000302;Nunspeet;Gelderland;444365;11.3,
000303;Dronten;Flevoland;442643;11,
000304;Neerijnen;Gelderland;252373;8.7,
000307;Amersfoort;Utrecht;972949;6.5,
000308;Baarn;Utrecht;796657;7.7,
000310;De Bilt;Utrecht;696666;7.4,
000312;Bunnik;Utrecht;495575;11.3,
000313;Bunschoten;Utrecht;541476;14.9,
000317;Eemnes;Utrecht;584576;8.5,
000321;Houten;Utrecht;791576;8.1,
000327;Leusden;Utrecht;685576;9.9,
000331;Lopik;Utrecht;352473;15,
000335;Montfoort;Utrecht;473475;10.9,
000339;Renswoude;Utrecht;351374;16.9,
000340;Rhenen;Utrecht;554555;7.9,
000342;Soest;Utrecht;685757;7.7,
000344;Utrecht;Utrecht;961919;4.2,
000345;Veenendaal;Utrecht;942737;9.4,
000351;Woudenberg;Utrecht;563475;10.6,
000352;Wijk bij Duurstede;Utrecht;574465;7.2,
000353;IJsselstein;Utrecht;882857;7.8,
000355;Zeist;Utrecht;784847;6.7,
000356;Nieuwegein;Utrecht;865947;6.3,
000358;Aalsmeer;Noord-Holland;583685;8.5,
000361;Alkmaar;Noord-Holland;955839;5.7,
000362;Amstelveen;Noord-Holland;995968;5.5,
000363;Amsterdam;Noord-Holland;963919;2.2,
000365;Graft-De Rijp;Noord-Holland;375473;9.1,
000370;Beemster;Noord-Holland;485474;8,
000373;Bergen (NH.);Noord-Holland;489465;7.5,
000375;Beverwijk;Noord-Holland;954838;5.8,
000376;Blaricum;Noord-Holland;598666;6.5,
000377;Bloemendaal;Noord-Holland;597578;7.6,
000381;Bussum;Noord-Holland;995759;6,
000383;Castricum;Noord-Holland;686465;8.9,
000384;Diemen;Noord-Holland;963947;3.8,
000385;Edam-Volendam;Noord-Holland;763476;14.1,
000388;Enkhuizen;Noord-Holland;645545;6.5,
000392;Haarlem;Noord-Holland;974949;4.6,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;8.6,
000394;Haarlemmermeer;Noord-Holland;782866;6.3,
000395;Harenkarspel;Noord-Holland;353473;11,
000396;Heemskerk;Noord-Holland;965737;8,
000397;Heemstede;Noord-Holland;797568;7.6,
000398;Heerhugowaard;Noord-Holland;753756;6.9,
000399;Heiloo;Noord-Holland;697566;8.7,
000400;Den Helder;Noord-Holland;846716;6.6,
000402;Hilversum;Noord-Holland;985849;5.8,
000405;Hoorn;Noord-Holland;753847;5.7,
000406;Huizen;Noord-Holland;885757;8.8,
000415;Landsmeer;Noord-Holland;596566;3.8,
000416;Langedijk;Noord-Holland;564465;9.6,
000417;Laren;Noord-Holland;599577;6.8,
000420;Medemblik;Noord-Holland;354464;11.1,
000424;Muiden;Noord-Holland;396552;7.3,
000425;Naarden;Noord-Holland;695678;6.2,
000431;Oostzaan;Noord-Holland;585576;3.7,
000432;Opmeer;Noord-Holland;354374;13.6,
000437;Ouder-Amstel;Noord-Holland;695766;6.7,
000439;Purmerend;Noord-Holland;955947;4.4,
000441;Schagen;Noord-Holland;455454;6.8,
000448;Texel;Noord-Holland;347474;9.3,
000450;Uitgeest;Noord-Holland;573476;6.9,
000451;Uithoorn;Noord-Holland;775765;6.2,
000453;Velsen;Noord-Holland;865647;5.8,
000457;Weesp;Noord-Holland;776946;5.8,
000458;Schermer;Noord-Holland;264462;9.9,
000473;Zandvoort;Noord-Holland;779637;4.3,
000476;Zijpe;Noord-Holland;256462;8.6,
000478;Zeevang;Noord-Holland;376463;4.7,
000479;Zaanstad;Noord-Holland;854937;5,
000482;Alblasserdam;Zuid-Holland;743656;8.4,
000484;Alphen aan den Rijn;Zuid-Holland;973758;7.8,
000489;Barendrecht;Zuid-Holland;782976;7.7,
000491;Bergambacht;Zuid-Holland;364473;8.4,
000498;Drechterland;Noord-Holland;354473;10.2,
000499;Boskoop;Zuid-Holland;564665;10.8,
000501;Brielle;Zuid-Holland;586564;6.4,
000502;Capelle aan den IJssel;Zuid-Holland;965927;5.1,
000503;Delft;Zuid-Holland;943919;5.5,
000504;Dirksland;Zuid-Holland;353375;8.5,
000505;Dordrecht;Zuid-Holland;954918;6.2,
000511;Goedereede;Zuid-Holland;365374;8.9,
000512;Gorinchem;Zuid-Holland;854947;6.3,
000513;Gouda;Zuid-Holland;964939;6.5,
000518;'s-Gravenhage;Zuid-Holland;953919;4.3,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;9.6,
000530;Hellevoetsluis;Zuid-Holland;775646;3.7,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;7.7,
000532;Stede Broec;Noord-Holland;544465;9.1,
000534;Hillegom;Zuid-Holland;765666;8,
000537;Katwijk;Zuid-Holland;852567;15,
