id;title;provincie;dna;CU,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;4.2,
000005;Bedum;Groningen;435354;12.5,
000007;Bellingwedde;Groningen;229422;2.6,
000009;Ten Boer;Groningen;334363;13.2,
000010;Delfzijl;Groningen;437715;5.1,
000014;Groningen;Groningen;931819;4,
000015;Grootegast;Groningen;223353;11.4,
000017;Haren;Groningen;598465;5.1,
000018;Hoogezand-Sappemeer;Groningen;626714;3.8,
000022;Leek;Groningen;445444;8.2,
000025;Marum;Groningen;334353;6.2,
000034;Almere;Flevoland;751918;1.9,
000037;Stadskanaal;Groningen;417415;9.5,
000040;Slochteren;Groningen;245352;9.1,
000047;Veendam;Groningen;536514;3,
000048;Vlagtwedde;Groningen;328452;3.3,
000024;Loppersum;Groningen;225341;8.8,
000050;Zeewolde;Flevoland;561554;8.5,
000051;Skarsterlân;Friesland;434354;2.7,
000053;Winsum;Groningen;344353;8.9,
000055;Boarnsterhim;Friesland;344344;1.4,
000056;Zuidhorn;Groningen;343363;15.4,
000058;Dongeradeel;Friesland;314324;8.5,
000059;Achtkarspelen;Friesland;314313;11.6,
000060;Ameland;Friesland;336393;2.1,
000063;het Bildt;Friesland;314432;3.5,
000070;Franekeradeel;Friesland;425432;4,
000072;Harlingen;Friesland;526514;3.7,
000074;Heerenveen;Friesland;646525;3.3,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;8.2,
000080;Leeuwarden;Friesland;934719;3.3,
000081;Leeuwarderadeel;Friesland;435444;3.7,
000082;Lemsterland;Friesland;444444;2.7,
000085;Ooststellingwerf;Friesland;326333;3.8,
000086;Opsterland;Friesland;334343;7.3,
000088;Schiermonnikoog;Friesland;358472;2.2,
000090;Smallingerland;Friesland;635516;9.1,
000093;Terschelling;Friesland;266381;2.5,
000096;Vlieland;Friesland;256471;3.6,
000098;Weststellingwerf;Friesland;426432;2.2,
000106;Assen;Drenthe;744517;8,
000109;Coevorden;Drenthe;336424;2.2,
000114;Emmen;Drenthe;425415;2.8,
000118;Hoogeveen;Drenthe;525426;7.6,
000119;Meppel;Drenthe;644536;5.2,
000140;Littenseradiel;Friesland;243362;2.5,
000141;Almelo;Overijssel;724917;3.2,
000147;Borne;Overijssel;655456;1.2,
000148;Dalfsen;Overijssel;344373;9.7,
000150;Deventer;Overijssel;844827;2.3,
000153;Enschede;Overijssel;924918;3.7,
000158;Haaksbergen;Overijssel;545555;0.7,
000160;Hardenberg;Overijssel;323354;13.1,
000163;Hellendoorn;Overijssel;435364;5.4,
000164;Hengelo;Overijssel;844828;2.3,
000166;Kampen;Overijssel;622555;14.8,
000168;Losser;Overijssel;436545;0.8,
