id;title;provincie;dna;D66,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;4.1,
000005;Bedum;Groningen;435354;5.6,
000007;Bellingwedde;Groningen;229422;4,
000009;Ten Boer;Groningen;334363;5.1,
000010;Delfzijl;Groningen;437715;3.6,
000014;Groningen;Groningen;931819;13,
000015;Grootegast;Groningen;223353;3.8,
000017;Haren;Groningen;598465;12.2,
000018;Hoogezand-Sappemeer;Groningen;626714;4.5,
000022;Leek;Groningen;445444;5.4,
000025;Marum;Groningen;334353;4.3,
000034;Almere;Flevoland;751918;6.4,
000037;Stadskanaal;Groningen;417415;2.8,
000040;Slochteren;Groningen;245352;5.2,
000047;Veendam;Groningen;536514;4.4,
000048;Vlagtwedde;Groningen;328452;3.4,
000024;Loppersum;Groningen;225341;5,
000050;Zeewolde;Flevoland;561554;6.2,
000051;Skarsterlân;Friesland;434354;5.5,
000053;Winsum;Groningen;344353;5.6,
000055;Boarnsterhim;Friesland;344344;6.5,
000056;Zuidhorn;Groningen;343363;6.2,
000058;Dongeradeel;Friesland;314324;4.2,
000059;Achtkarspelen;Friesland;314313;2.8,
000060;Ameland;Friesland;336393;6.9,
000063;het Bildt;Friesland;314432;3.9,
000070;Franekeradeel;Friesland;425432;4.7,
000072;Harlingen;Friesland;526514;4.6,
000074;Heerenveen;Friesland;646525;6.1,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;3,
000080;Leeuwarden;Friesland;934719;6.8,
000081;Leeuwarderadeel;Friesland;435444;4.8,
000082;Lemsterland;Friesland;444444;5.5,
000085;Ooststellingwerf;Friesland;326333;4.7,
000086;Opsterland;Friesland;334343;5.1,
000088;Schiermonnikoog;Friesland;358472;9.3,
000090;Smallingerland;Friesland;635516;4.6,
000093;Terschelling;Friesland;266381;7.3,
000096;Vlieland;Friesland;256471;10.7,
000098;Weststellingwerf;Friesland;426432;4.4,
000106;Assen;Drenthe;744517;6.7,
000109;Coevorden;Drenthe;336424;5.1,
000114;Emmen;Drenthe;425415;4.3,
000118;Hoogeveen;Drenthe;525426;3.9,
000119;Meppel;Drenthe;644536;6.8,
000140;Littenseradiel;Friesland;243362;5.3,
000141;Almelo;Overijssel;724917;5.8,
000147;Borne;Overijssel;655456;7.5,
000148;Dalfsen;Overijssel;344373;5.4,
000150;Deventer;Overijssel;844827;9.6,
000153;Enschede;Overijssel;924918;8.7,
000158;Haaksbergen;Overijssel;545555;6.3,
000160;Hardenberg;Overijssel;323354;4,
000163;Hellendoorn;Overijssel;435364;5.4,
000164;Hengelo;Overijssel;844828;7.6,
000166;Kampen;Overijssel;622555;4,
000168;Losser;Overijssel;436545;5.4,
000171;Noordoostpolder;Flevoland;433554;5.3,
000173;Oldenzaal;Overijssel;645637;7.7,
000175;Ommen;Overijssel;345363;5.8,
000177;Raalte;Overijssel;445363;7,
000180;Staphorst;Overijssel;321373;1.9,
000183;Tubbergen;Overijssel;333373;4.2,
000184;Urk;Flevoland;511376;0.2,
000189;Wierden;Overijssel;444364;4.4,
000193;Zwolle;Overijssel;852628;9.3,
000196;Rijnwaarden;Gelderland;335444;4.9,
000197;Aalten;Gelderland;425463;5.6,
000200;Apeldoorn;Gelderland;855638;8.1,
000202;Arnhem;Gelderland;943918;10.5,
000203;Barneveld;Gelderland;541464;3,
000209;Beuningen;Gelderland;564555;7.3,
000213;Brummen;Gelderland;447554;7.5,
000214;Buren;Gelderland;364373;6.5,
000216;Culemborg;Gelderland;763835;8.6,
000221;Doesburg;Gelderland;546715;7.5,
000222;Doetinchem;Gelderland;545546;7.5,
000225;Druten;Gelderland;453564;7,
000226;Duiven;Gelderland;654555;7.4,
000228;Ede;Gelderland;753647;6.2,
000230;Elburg;Gelderland;443364;3,
000232;Epe;Gelderland;447554;5.9,
000233;Ermelo;Gelderland;566456;5.4,
000236;Geldermalsen;Gelderland;463464;6.1,
000241;Groesbeek;Gelderland;457444;6.8,
000243;Harderwijk;Gelderland;653747;6,
000244;Hattem;Gelderland;455465;6.2,
000246;Heerde;Gelderland;446364;4.5,
000252;Heumen;Gelderland;476464;10.2,
000262;Lochem;Gelderland;468464;10.1,
000263;Maasdriel;Gelderland;354473;5.7,
000265;Millingen aan de Rijn;Gelderland;435544;5,
000267;Nijkerk;Gelderland;563565;5.5,
000268;Nijmegen;Gelderland;943919;12.8,
000269;Oldebroek;Gelderland;433374;2.6,
000273;Putten;Gelderland;553465;3.2,
000274;Renkum;Gelderland;588545;11.9,
000275;Rheden;Gelderland;658536;9.1,
000277;Rozendaal;Gelderland;598586;14.3,
000279;Scherpenzeel;Gelderland;552375;3.5,
000281;Tiel;Gelderland;643917;6.1,
000282;Ubbergen;Gelderland;367454;10,
000285;Voorst;Gelderland;456364;8,
000289;Wageningen;Gelderland;743847;17.4,
000293;Westervoort;Gelderland;644626;6.5,
000294;Winterswijk;Gelderland;626546;6.2,
000296;Wijchen;Gelderland;654445;7.9,
000297;Zaltbommel;Gelderland;452564;5.9,
000299;Zevenaar;Gelderland;646546;7,
000301;Zutphen;Gelderland;744627;9.1,
000302;Nunspeet;Gelderland;444365;3.2,
000303;Dronten;Flevoland;442643;5.9,
000304;Neerijnen;Gelderland;252373;4.5,
000307;Amersfoort;Utrecht;972949;10.4,
000308;Baarn;Utrecht;796657;10.8,
000310;De Bilt;Utrecht;696666;11.9,
000312;Bunnik;Utrecht;495575;11.6,
000313;Bunschoten;Utrecht;541476;1.7,
000317;Eemnes;Utrecht;584576;8.3,
000321;Houten;Utrecht;791576;10,
000327;Leusden;Utrecht;685576;9.3,
000331;Lopik;Utrecht;352473;4,
000335;Montfoort;Utrecht;473475;7.2,
000339;Renswoude;Utrecht;351374;2.6,
000340;Rhenen;Utrecht;554555;6.6,
000342;Soest;Utrecht;685757;9.3,
000344;Utrecht;Utrecht;961919;17.4,
000345;Veenendaal;Utrecht;942737;4.7,
000351;Woudenberg;Utrecht;563475;4.8,
000352;Wijk bij Duurstede;Utrecht;574465;7.9,
000353;IJsselstein;Utrecht;882857;7.7,
000355;Zeist;Utrecht;784847;11.2,
000356;Nieuwegein;Utrecht;865947;7,
000358;Aalsmeer;Noord-Holland;583685;7.5,
000361;Alkmaar;Noord-Holland;955839;8.7,
000362;Amstelveen;Noord-Holland;995968;12.6,
000363;Amsterdam;Noord-Holland;963919;14.9,
000365;Graft-De Rijp;Noord-Holland;375473;7.5,
000370;Beemster;Noord-Holland;485474;7.5,
000373;Bergen (NH.);Noord-Holland;489465;9.8,
000375;Beverwijk;Noord-Holland;954838;7,
000376;Blaricum;Noord-Holland;598666;9.2,
000377;Bloemendaal;Noord-Holland;597578;14.2,
000381;Bussum;Noord-Holland;995759;12.9,
000383;Castricum;Noord-Holland;686465;9.8,
000384;Diemen;Noord-Holland;963947;9.4,
000385;Edam-Volendam;Noord-Holland;763476;4,
000388;Enkhuizen;Noord-Holland;645545;7.2,
000392;Haarlem;Noord-Holland;974949;12.3,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;9.1,
000394;Haarlemmermeer;Noord-Holland;782866;7.6,
000395;Harenkarspel;Noord-Holland;353473;7.3,
000396;Heemskerk;Noord-Holland;965737;6.8,
000397;Heemstede;Noord-Holland;797568;12.9,
000398;Heerhugowaard;Noord-Holland;753756;7.2,
000399;Heiloo;Noord-Holland;697566;10.7,
000400;Den Helder;Noord-Holland;846716;5.3,
000402;Hilversum;Noord-Holland;985849;11.5,
000405;Hoorn;Noord-Holland;753847;7.7,
000406;Huizen;Noord-Holland;885757;8.3,
000415;Landsmeer;Noord-Holland;596566;9.2,
000416;Langedijk;Noord-Holland;564465;7.3,
000417;Laren;Noord-Holland;599577;9.7,
000420;Medemblik;Noord-Holland;354464;6.3,
000424;Muiden;Noord-Holland;396552;14.7,
000425;Naarden;Noord-Holland;695678;12.7,
000431;Oostzaan;Noord-Holland;585576;6.9,
000432;Opmeer;Noord-Holland;354374;6.9,
000437;Ouder-Amstel;Noord-Holland;695766;12.3,
