id;title;provincie;dna;PvdA,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;39.8,
000005;Bedum;Groningen;435354;29,
000007;Bellingwedde;Groningen;229422;38.1,
000009;Ten Boer;Groningen;334363;32.6,
000010;Delfzijl;Groningen;437715;36.9,
000014;Groningen;Groningen;931819;36.5,
000015;Grootegast;Groningen;223353;21.6,
000017;Haren;Groningen;598465;27.8,
000018;Hoogezand-Sappemeer;Groningen;626714;39,
000022;Leek;Groningen;445444;33,
000025;Marum;Groningen;334353;28.8,
000034;Almere;Flevoland;751918;28.3,
000037;Stadskanaal;Groningen;417415;32.8,
000040;Slochteren;Groningen;245352;31.2,
000047;Veendam;Groningen;536514;42.2,
000048;Vlagtwedde;Groningen;328452;32.6,
000024;Loppersum;Groningen;225341;31.7,
000050;Zeewolde;Flevoland;561554;15.2,
000051;Skarsterlân;Friesland;434354;30.6,
000053;Winsum;Groningen;344353;34.6,
000055;Boarnsterhim;Friesland;344344;38.6,
000056;Zuidhorn;Groningen;343363;26.8,
000058;Dongeradeel;Friesland;314324;26,
000059;Achtkarspelen;Friesland;314313;29.6,
000060;Ameland;Friesland;336393;25.6,
000063;het Bildt;Friesland;314432;32,
000070;Franekeradeel;Friesland;425432;31.3,
000072;Harlingen;Friesland;526514;33.2,
000074;Heerenveen;Friesland;646525;38.5,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;24.8,
000080;Leeuwarden;Friesland;934719;41.1,
000081;Leeuwarderadeel;Friesland;435444;38.7,
000082;Lemsterland;Friesland;444444;25.1,
000085;Ooststellingwerf;Friesland;326333;33.9,
000086;Opsterland;Friesland;334343;34.8,
000088;Schiermonnikoog;Friesland;358472;31.1,
000090;Smallingerland;Friesland;635516;34.6,
000093;Terschelling;Friesland;266381;28.8,
000096;Vlieland;Friesland;256471;29,
000098;Weststellingwerf;Friesland;426432;32.8,
000106;Assen;Drenthe;744517;35.6,
000109;Coevorden;Drenthe;336424;30.8,
000114;Emmen;Drenthe;425415;37.7,
000118;Hoogeveen;Drenthe;525426;25.4,
000119;Meppel;Drenthe;644536;29.7,
000140;Littenseradiel;Friesland;243362;31.4,
000141;Almelo;Overijssel;724917;29.1,
000147;Borne;Overijssel;655456;24.9,
000148;Dalfsen;Overijssel;344373;19.4,
000150;Deventer;Overijssel;844827;34.2,
000153;Enschede;Overijssel;924918;31.1,
000158;Haaksbergen;Overijssel;545555;22.8,
000160;Hardenberg;Overijssel;323354;20.7,
000163;Hellendoorn;Overijssel;435364;20.5,
000164;Hengelo;Overijssel;844828;28.5,
000166;Kampen;Overijssel;622555;19.9,
000168;Losser;Overijssel;436545;22.8,
000171;Noordoostpolder;Flevoland;433554;18,
000173;Oldenzaal;Overijssel;645637;24.7,
000175;Ommen;Overijssel;345363;18.1,
000177;Raalte;Overijssel;445363;21.7,
000180;Staphorst;Overijssel;321373;7.9,
000183;Tubbergen;Overijssel;333373;12.4,
000184;Urk;Flevoland;511376;1,
000189;Wierden;Overijssel;444364;13.8,
000193;Zwolle;Overijssel;852628;29.7,
000196;Rijnwaarden;Gelderland;335444;27.9,
000197;Aalten;Gelderland;425463;23.5,
000200;Apeldoorn;Gelderland;855638;26.4,
000202;Arnhem;Gelderland;943918;31.4,
000203;Barneveld;Gelderland;541464;8.3,
000209;Beuningen;Gelderland;564555;24.8,
000213;Brummen;Gelderland;447554;30.8,
000214;Buren;Gelderland;364373;20.3,
000216;Culemborg;Gelderland;763835;26.6,
000221;Doesburg;Gelderland;546715;31.2,
000222;Doetinchem;Gelderland;545546;31.4,
000225;Druten;Gelderland;453564;24.8,
000226;Duiven;Gelderland;654555;25.9,
000228;Ede;Gelderland;753647;15.5,
000230;Elburg;Gelderland;443364;11.6,
000232;Epe;Gelderland;447554;25.1,
000233;Ermelo;Gelderland;566456;14.3,
000236;Geldermalsen;Gelderland;463464;18,
000241;Groesbeek;Gelderland;457444;25.7,
000243;Harderwijk;Gelderland;653747;18.1,
000244;Hattem;Gelderland;455465;25.1,
000246;Heerde;Gelderland;446364;22.3,
000252;Heumen;Gelderland;476464;24.8,
000262;Lochem;Gelderland;468464;26.1,
000263;Maasdriel;Gelderland;354473;16,
000265;Millingen aan de Rijn;Gelderland;435544;33.1,
000267;Nijkerk;Gelderland;563565;14.5,
000268;Nijmegen;Gelderland;943919;32.3,
000269;Oldebroek;Gelderland;433374;15.5,
000273;Putten;Gelderland;553465;10.4,
000274;Renkum;Gelderland;588545;25.2,
000275;Rheden;Gelderland;658536;29.7,
000277;Rozendaal;Gelderland;598586;15.7,
000279;Scherpenzeel;Gelderland;552375;10.4,
000281;Tiel;Gelderland;643917;27.8,
000282;Ubbergen;Gelderland;367454;26.9,
000285;Voorst;Gelderland;456364;24.3,
000289;Wageningen;Gelderland;743847;29.3,
000293;Westervoort;Gelderland;644626;29,
000294;Winterswijk;Gelderland;626546;31.7,
000296;Wijchen;Gelderland;654445;23.4,
000297;Zaltbommel;Gelderland;452564;18.8,
000299;Zevenaar;Gelderland;646546;26.7,
000301;Zutphen;Gelderland;744627;33.8,
000302;Nunspeet;Gelderland;444365;9.4,
000303;Dronten;Flevoland;442643;17,
000304;Neerijnen;Gelderland;252373;17.5,
000307;Amersfoort;Utrecht;972949;25.6,
000308;Baarn;Utrecht;796657;19.8,
000310;De Bilt;Utrecht;696666;20.3,
000312;Bunnik;Utrecht;495575;21.2,
000313;Bunschoten;Utrecht;541476;6.5,
000317;Eemnes;Utrecht;584576;18.6,
000321;Houten;Utrecht;791576;21.3,
000327;Leusden;Utrecht;685576;19.3,
000331;Lopik;Utrecht;352473;12,
000335;Montfoort;Utrecht;473475;15.6,
000339;Renswoude;Utrecht;351374;6.8,
000340;Rhenen;Utrecht;554555;16.8,
000342;Soest;Utrecht;685757;18.4,
000344;Utrecht;Utrecht;961919;29.7,
000345;Veenendaal;Utrecht;942737;16.7,
000351;Woudenberg;Utrecht;563475;12.2,
000352;Wijk bij Duurstede;Utrecht;574465;20,
000353;IJsselstein;Utrecht;882857;22.7,
000355;Zeist;Utrecht;784847;22.6,
000356;Nieuwegein;Utrecht;865947;26.3,
000358;Aalsmeer;Noord-Holland;583685;15,
000361;Alkmaar;Noord-Holland;955839;30.2,
000362;Amstelveen;Noord-Holland;995968;23.5,
000363;Amsterdam;Noord-Holland;963919;36.2,
000365;Graft-De Rijp;Noord-Holland;375473;20.5,
000370;Beemster;Noord-Holland;485474;19.7,
000373;Bergen (NH.);Noord-Holland;489465;22.1,
000375;Beverwijk;Noord-Holland;954838;26.8,
000376;Blaricum;Noord-Holland;598666;16.6,
000377;Bloemendaal;Noord-Holland;597578;16.3,
000381;Bussum;Noord-Holland;995759;20.1,
000383;Castricum;Noord-Holland;686465;23.4,
000384;Diemen;Noord-Holland;963947;30.5,
000385;Edam-Volendam;Noord-Holland;763476;11.2,
000388;Enkhuizen;Noord-Holland;645545;26.8,
000392;Haarlem;Noord-Holland;974949;30.4,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;18.3,
000394;Haarlemmermeer;Noord-Holland;782866;20,
000395;Harenkarspel;Noord-Holland;353473;19.6,
000396;Heemskerk;Noord-Holland;965737;25.8,
000397;Heemstede;Noord-Holland;797568;19,
000398;Heerhugowaard;Noord-Holland;753756;24.3,
000399;Heiloo;Noord-Holland;697566;23.7,
000400;Den Helder;Noord-Holland;846716;21.7,
000402;Hilversum;Noord-Holland;985849;25,
000405;Hoorn;Noord-Holland;753847;27.7,
000406;Huizen;Noord-Holland;885757;19.4,
000415;Landsmeer;Noord-Holland;596566;25,
000416;Langedijk;Noord-Holland;564465;20.9,
000417;Laren;Noord-Holland;599577;13.2,
000420;Medemblik;Noord-Holland;354464;18.7,
000424;Muiden;Noord-Holland;396552;22,
000425;Naarden;Noord-Holland;695678;18.2,
000431;Oostzaan;Noord-Holland;585576;23.8,
000432;Opmeer;Noord-Holland;354374;19,
000437;Ouder-Amstel;Noord-Holland;695766;22.6,
000439;Purmerend;Noord-Holland;955947;27,
000441;Schagen;Noord-Holland;455454;27.3,
000448;Texel;Noord-Holland;347474;23.1,
000450;Uitgeest;Noord-Holland;573476;24.2,
000451;Uithoorn;Noord-Holland;775765;19.4,
000453;Velsen;Noord-Holland;865647;26,
000457;Weesp;Noord-Holland;776946;26.8,
000458;Schermer;Noord-Holland;264462;20.5,
000473;Zandvoort;Noord-Holland;779637;19.2,
000476;Zijpe;Noord-Holland;256462;22.6,
000478;Zeevang;Noord-Holland;376463;21.4,
000479;Zaanstad;Noord-Holland;854937;30.8,
000482;Alblasserdam;Zuid-Holland;743656;21.8,
000484;Alphen aan den Rijn;Zuid-Holland;973758;21.9,
000489;Barendrecht;Zuid-Holland;782976;19.2,
000491;Bergambacht;Zuid-Holland;364473;18.2,
000498;Drechterland;Noord-Holland;354473;18.6,
000499;Boskoop;Zuid-Holland;564665;16.4,
000501;Brielle;Zuid-Holland;586564;19.7,
000502;Capelle aan den IJssel;Zuid-Holland;965927;23.3,
000503;Delft;Zuid-Holland;943919;26.7,
000504;Dirksland;Zuid-Holland;353375;14.8,
000505;Dordrecht;Zuid-Holland;954918;26.5,
000511;Goedereede;Zuid-Holland;365374;11.9,
000512;Gorinchem;Zuid-Holland;854947;27.4,
