id;title;provincie;dna;SGP,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;0.3,
000005;Bedum;Groningen;435354;1.4,
000007;Bellingwedde;Groningen;229422;0.5,
000009;Ten Boer;Groningen;334363;2.1,
000010;Delfzijl;Groningen;437715;0.5,
000014;Groningen;Groningen;931819;0.4,
000015;Grootegast;Groningen;223353;2.1,
000017;Haren;Groningen;598465;0.6,
000018;Hoogezand-Sappemeer;Groningen;626714;0.4,
000022;Leek;Groningen;445444;1.2,
000025;Marum;Groningen;334353;1.2,
000034;Almere;Flevoland;751918;0.4,
000037;Stadskanaal;Groningen;417415;1.4,
000040;Slochteren;Groningen;245352;1.3,
000047;Veendam;Groningen;536514;0.4,
000048;Vlagtwedde;Groningen;328452;0.6,
000024;Loppersum;Groningen;225341;1.5,
000050;Zeewolde;Flevoland;561554;1.9,
000051;Skarsterlân;Friesland;434354;0.5,
000053;Winsum;Groningen;344353;0.9,
000055;Boarnsterhim;Friesland;344344;0.3,
000056;Zuidhorn;Groningen;343363;2,
000058;Dongeradeel;Friesland;314324;1.5,
000059;Achtkarspelen;Friesland;314313;1.7,
000060;Ameland;Friesland;336393;0.4,
000063;het Bildt;Friesland;314432;0.5,
000070;Franekeradeel;Friesland;425432;0.5,
000072;Harlingen;Friesland;526514;0.7,
000074;Heerenveen;Friesland;646525;0.3,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;1.7,
000080;Leeuwarden;Friesland;934719;0.4,
000081;Leeuwarderadeel;Friesland;435444;0.4,
000082;Lemsterland;Friesland;444444;0.9,
000085;Ooststellingwerf;Friesland;326333;0.7,
000086;Opsterland;Friesland;334343;1.3,
000088;Schiermonnikoog;Friesland;358472;5.8,
000090;Smallingerland;Friesland;635516;1.3,
000093;Terschelling;Friesland;266381;0.5,
000096;Vlieland;Friesland;256471;0.6,
000098;Weststellingwerf;Friesland;426432;0.4,
000106;Assen;Drenthe;744517;0.8,
000109;Coevorden;Drenthe;336424;0.6,
000114;Emmen;Drenthe;425415;0.4,
000118;Hoogeveen;Drenthe;525426;1.9,
000119;Meppel;Drenthe;644536;0.5,
000140;Littenseradiel;Friesland;243362;0.2,
000141;Almelo;Overijssel;724917;0.5,
000147;Borne;Overijssel;655456;0.2,
000148;Dalfsen;Overijssel;344373;2.4,
000150;Deventer;Overijssel;844827;0.3,
000153;Enschede;Overijssel;924918;0.4,
000158;Haaksbergen;Overijssel;545555;0.1,
000160;Hardenberg;Overijssel;323354;1.8,
000163;Hellendoorn;Overijssel;435364;0.9,
000164;Hengelo;Overijssel;844828;0.3,
000166;Kampen;Overijssel;622555;11,
000168;Losser;Overijssel;436545;0.2,
000171;Noordoostpolder;Flevoland;433554;3.9,
000173;Oldenzaal;Overijssel;645637;0.1,
000175;Ommen;Overijssel;345363;1.5,
000177;Raalte;Overijssel;445363;0.2,
000180;Staphorst;Overijssel;321373;32.6,
000183;Tubbergen;Overijssel;333373;0.1,
000184;Urk;Flevoland;511376;51.3,
000189;Wierden;Overijssel;444364;3.3,
000193;Zwolle;Overijssel;852628;1.1,
000196;Rijnwaarden;Gelderland;335444;0.1,
000197;Aalten;Gelderland;425463;0.6,
000200;Apeldoorn;Gelderland;855638;3.2,
000202;Arnhem;Gelderland;943918;0.3,
000203;Barneveld;Gelderland;541464;21.7,
000209;Beuningen;Gelderland;564555;0.1,
000213;Brummen;Gelderland;447554;0.3,
000214;Buren;Gelderland;364373;5,
000216;Culemborg;Gelderland;763835;1,
000221;Doesburg;Gelderland;546715;0.3,
000222;Doetinchem;Gelderland;545546;1,
000225;Druten;Gelderland;453564;0.1,
000226;Duiven;Gelderland;654555;0.2,
000228;Ede;Gelderland;753647;12.4,
000230;Elburg;Gelderland;443364;16.1,
000232;Epe;Gelderland;447554;4,
000233;Ermelo;Gelderland;566456;7.1,
000236;Geldermalsen;Gelderland;463464;9.7,
000241;Groesbeek;Gelderland;457444;0.1,
000243;Harderwijk;Gelderland;653747;2.8,
000244;Hattem;Gelderland;455465;2.6,
000246;Heerde;Gelderland;446364;3.2,
000252;Heumen;Gelderland;476464;0,
000262;Lochem;Gelderland;468464;0.2,
000263;Maasdriel;Gelderland;354473;2,
000265;Millingen aan de Rijn;Gelderland;435544;0.2,
000267;Nijkerk;Gelderland;563565;7.3,
000268;Nijmegen;Gelderland;943919;0.1,
000269;Oldebroek;Gelderland;433374;14.9,
000273;Putten;Gelderland;553465;11,
000274;Renkum;Gelderland;588545;0.7,
000275;Rheden;Gelderland;658536;0.5,
000277;Rozendaal;Gelderland;598586;0.6,
000279;Scherpenzeel;Gelderland;552375;20.5,
000281;Tiel;Gelderland;643917;0.8,
000282;Ubbergen;Gelderland;367454;0.1,
000285;Voorst;Gelderland;456364;1.8,
000289;Wageningen;Gelderland;743847;1.1,
000293;Westervoort;Gelderland;644626;0.3,
000294;Winterswijk;Gelderland;626546;0.2,
000296;Wijchen;Gelderland;654445;0.1,
000297;Zaltbommel;Gelderland;452564;15.1,
000299;Zevenaar;Gelderland;646546;0.1,
000301;Zutphen;Gelderland;744627;0.3,
000302;Nunspeet;Gelderland;444365;24.2,
000303;Dronten;Flevoland;442643;1.3,
000304;Neerijnen;Gelderland;252373;12.2,
000307;Amersfoort;Utrecht;972949;1.1,
000308;Baarn;Utrecht;796657;1.2,
000310;De Bilt;Utrecht;696666;3.1,
000312;Bunnik;Utrecht;495575;1.4,
000313;Bunschoten;Utrecht;541476;7.5,
000317;Eemnes;Utrecht;584576;1,
000321;Houten;Utrecht;791576;2.4,
000327;Leusden;Utrecht;685576;1.9,
000331;Lopik;Utrecht;352473;7.6,
000335;Montfoort;Utrecht;473475;5.4,
000339;Renswoude;Utrecht;351374;17.3,
000340;Rhenen;Utrecht;554555;16,
000342;Soest;Utrecht;685757;1.5,
000344;Utrecht;Utrecht;961919;0.4,
000345;Veenendaal;Utrecht;942737;10.8,
000351;Woudenberg;Utrecht;563475;19,
000352;Wijk bij Duurstede;Utrecht;574465;2.6,
000353;IJsselstein;Utrecht;882857;1.1,
