id;title;provincie;dna;SP,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;13,
000005;Bedum;Groningen;435354;9.2,
000007;Bellingwedde;Groningen;229422;14.4,
000009;Ten Boer;Groningen;334363;9.6,
000010;Delfzijl;Groningen;437715;11.9,
000014;Groningen;Groningen;931819;11.8,
000015;Grootegast;Groningen;223353;8.3,
000017;Haren;Groningen;598465;6.3,
000018;Hoogezand-Sappemeer;Groningen;626714;12.8,
000022;Leek;Groningen;445444;9.1,
000025;Marum;Groningen;334353;9.1,
000034;Almere;Flevoland;751918;9.4,
000037;Stadskanaal;Groningen;417415;11.9,
000040;Slochteren;Groningen;245352;10,
000047;Veendam;Groningen;536514;12.2,
000048;Vlagtwedde;Groningen;328452;11.7,
000024;Loppersum;Groningen;225341;10.9,
000050;Zeewolde;Flevoland;561554;5.7,
000051;Skarsterlân;Friesland;434354;7.7,
000053;Winsum;Groningen;344353;10.6,
000055;Boarnsterhim;Friesland;344344;8.2,
000056;Zuidhorn;Groningen;343363;8.1,
000058;Dongeradeel;Friesland;314324;10.2,
000059;Achtkarspelen;Friesland;314313;8.7,
000060;Ameland;Friesland;336393;7.6,
000063;het Bildt;Friesland;314432;10.6,
000070;Franekeradeel;Friesland;425432;9.8,
000072;Harlingen;Friesland;526514;11,
000074;Heerenveen;Friesland;646525;9.5,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;10.2,
000080;Leeuwarden;Friesland;934719;11.2,
000081;Leeuwarderadeel;Friesland;435444;9.9,
000082;Lemsterland;Friesland;444444;8.8,
000085;Ooststellingwerf;Friesland;326333;10.3,
000086;Opsterland;Friesland;334343;9.7,
000088;Schiermonnikoog;Friesland;358472;9.4,
000090;Smallingerland;Friesland;635516;10,
000093;Terschelling;Friesland;266381;7.9,
000096;Vlieland;Friesland;256471;7.5,
000098;Weststellingwerf;Friesland;426432;9.1,
000106;Assen;Drenthe;744517;10.1,
000109;Coevorden;Drenthe;336424;8.5,
000114;Emmen;Drenthe;425415;11,
000118;Hoogeveen;Drenthe;525426;9.8,
000119;Meppel;Drenthe;644536;9.1,
000140;Littenseradiel;Friesland;243362;8.1,
000141;Almelo;Overijssel;724917;11.3,
000147;Borne;Overijssel;655456;10.3,
000148;Dalfsen;Overijssel;344373;7.1,
000150;Deventer;Overijssel;844827;10.1,
000153;Enschede;Overijssel;924918;11.7,
000158;Haaksbergen;Overijssel;545555;9.2,
000160;Hardenberg;Overijssel;323354;7.8,
000163;Hellendoorn;Overijssel;435364;9.8,
000164;Hengelo;Overijssel;844828;13.2,
000166;Kampen;Overijssel;622555;8.2,
000168;Losser;Overijssel;436545;11,
000171;Noordoostpolder;Flevoland;433554;7.1,
000173;Oldenzaal;Overijssel;645637;11.8,
000175;Ommen;Overijssel;345363;6.5,
000177;Raalte;Overijssel;445363;8.8,
000180;Staphorst;Overijssel;321373;2.6,
000183;Tubbergen;Overijssel;333373;7,
000184;Urk;Flevoland;511376;0.8,
000189;Wierden;Overijssel;444364;6.5,
000193;Zwolle;Overijssel;852628;9.5,
000196;Rijnwaarden;Gelderland;335444;13.4,
000197;Aalten;Gelderland;425463;12.1,
000200;Apeldoorn;Gelderland;855638;8.5,
000202;Arnhem;Gelderland;943918;12.8,
000203;Barneveld;Gelderland;541464;3.6,
000209;Beuningen;Gelderland;564555;14.4,
000213;Brummen;Gelderland;447554;9.3,
000214;Buren;Gelderland;364373;5.8,
000216;Culemborg;Gelderland;763835;8.1,
000221;Doesburg;Gelderland;546715;15.5,
000222;Doetinchem;Gelderland;545546;11.3,
000225;Druten;Gelderland;453564;13.9,
000226;Duiven;Gelderland;654555;11,
000228;Ede;Gelderland;753647;5.2,
000230;Elburg;Gelderland;443364;6,
000232;Epe;Gelderland;447554;6.8,
000233;Ermelo;Gelderland;566456;5.8,
000236;Geldermalsen;Gelderland;463464;5.1,
000241;Groesbeek;Gelderland;457444;15.9,
000243;Harderwijk;Gelderland;653747;6.1,
000244;Hattem;Gelderland;455465;6.7,
000246;Heerde;Gelderland;446364;6.4,
000252;Heumen;Gelderland;476464;12.2,
000262;Lochem;Gelderland;468464;7.8,
000263;Maasdriel;Gelderland;354473;9.5,
000265;Millingen aan de Rijn;Gelderland;435544;17.6,
000267;Nijkerk;Gelderland;563565;5,
000268;Nijmegen;Gelderland;943919;15,
000269;Oldebroek;Gelderland;433374;5.1,
000273;Putten;Gelderland;553465;4,
000274;Renkum;Gelderland;588545;8.2,
000275;Rheden;Gelderland;658536;11.1,
000277;Rozendaal;Gelderland;598586;3.2,
000279;Scherpenzeel;Gelderland;552375;3.2,
000281;Tiel;Gelderland;643917;9.2,
000282;Ubbergen;Gelderland;367454;12.6,
000285;Voorst;Gelderland;456364;7.7,
000289;Wageningen;Gelderland;743847;8.8,
000293;Westervoort;Gelderland;644626;14,
000294;Winterswijk;Gelderland;626546;11.3,
000296;Wijchen;Gelderland;654445;14.8,
000297;Zaltbommel;Gelderland;452564;7,
000299;Zevenaar;Gelderland;646546;11.7,
000301;Zutphen;Gelderland;744627;12.3,
000302;Nunspeet;Gelderland;444365;4,
000303;Dronten;Flevoland;442643;6.8,
000304;Neerijnen;Gelderland;252373;5.8,
000307;Amersfoort;Utrecht;972949;8.1,
000308;Baarn;Utrecht;796657;5.9,
000310;De Bilt;Utrecht;696666;6.4,
000312;Bunnik;Utrecht;495575;5.5,
000313;Bunschoten;Utrecht;541476;2.5,
000317;Eemnes;Utrecht;584576;6.5,
000321;Houten;Utrecht;791576;6.5,
000327;Leusden;Utrecht;685576;5.7,
000331;Lopik;Utrecht;352473;4.6,
000335;Montfoort;Utrecht;473475;4.8,
000339;Renswoude;Utrecht;351374;2.8,
000340;Rhenen;Utrecht;554555;4.5,
000342;Soest;Utrecht;685757;5.9,
000344;Utrecht;Utrecht;961919;7.3,
000345;Veenendaal;Utrecht;942737;5.3,
000351;Woudenberg;Utrecht;563475;4.1,
000352;Wijk bij Duurstede;Utrecht;574465;8.4,
000353;IJsselstein;Utrecht;882857;7.5,
000355;Zeist;Utrecht;784847;6.6,
000356;Nieuwegein;Utrecht;865947;9.4,
000358;Aalsmeer;Noord-Holland;583685;4.1,
000361;Alkmaar;Noord-Holland;955839;11.4,
000362;Amstelveen;Noord-Holland;995968;6.4,
000363;Amsterdam;Noord-Holland;963919;9.3,
000365;Graft-De Rijp;Noord-Holland;375473;8.2,
000370;Beemster;Noord-Holland;485474;6.3,
000373;Bergen (NH.);Noord-Holland;489465;6.8,
000375;Beverwijk;Noord-Holland;954838;9.7,
000376;Blaricum;Noord-Holland;598666;5.4,
000377;Bloemendaal;Noord-Holland;597578;3.5,
000381;Bussum;Noord-Holland;995759;5.4,
000383;Castricum;Noord-Holland;686465;7.8,
000384;Diemen;Noord-Holland;963947;9.4,
000385;Edam-Volendam;Noord-Holland;763476;4.1,
000388;Enkhuizen;Noord-Holland;645545;9.9,
000392;Haarlem;Noord-Holland;974949;9.2,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;6.4,
000394;Haarlemmermeer;Noord-Holland;782866;5.9,
000395;Harenkarspel;Noord-Holland;353473;7.6,
000396;Heemskerk;Noord-Holland;965737;9.6,
000397;Heemstede;Noord-Holland;797568;4.5,
000398;Heerhugowaard;Noord-Holland;753756;9.7,
000399;Heiloo;Noord-Holland;697566;6.1,
000400;Den Helder;Noord-Holland;846716;9.1,
000402;Hilversum;Noord-Holland;985849;8.2,
000405;Hoorn;Noord-Holland;753847;10.4,
000406;Huizen;Noord-Holland;885757;5.8,
000415;Landsmeer;Noord-Holland;596566;7.2,
000416;Langedijk;Noord-Holland;564465;7.9,
000417;Laren;Noord-Holland;599577;4.1,
000420;Medemblik;Noord-Holland;354464;7.9,
000424;Muiden;Noord-Holland;396552;5.4,
000425;Naarden;Noord-Holland;695678;3.8,
000431;Oostzaan;Noord-Holland;585576;7.2,
000432;Opmeer;Noord-Holland;354374;7.1,
000437;Ouder-Amstel;Noord-Holland;695766;5.1,
000439;Purmerend;Noord-Holland;955947;9.9,
000441;Schagen;Noord-Holland;455454;9.1,
000448;Texel;Noord-Holland;347474;9.1,
000450;Uitgeest;Noord-Holland;573476;7.9,
000451;Uithoorn;Noord-Holland;775765;6.2,
000453;Velsen;Noord-Holland;865647;8.6,
000457;Weesp;Noord-Holland;776946;7.4,
000458;Schermer;Noord-Holland;264462;7.1,
000473;Zandvoort;Noord-Holland;779637;6,
000476;Zijpe;Noord-Holland;256462;7.9,
000478;Zeevang;Noord-Holland;376463;6.5,
000479;Zaanstad;Noord-Holland;854937;10.9,
000482;Alblasserdam;Zuid-Holland;743656;6.4,
000484;Alphen aan den Rijn;Zuid-Holland;973758;7.3,
000489;Barendrecht;Zuid-Holland;782976;6,
