id;title;provincie;dna;VVD,
id;title;provincie;dna;2012-0,
000003;Appingedam;Groningen;537516;14.8,
000005;Bedum;Groningen;435354;15.8,
000007;Bellingwedde;Groningen;229422;18.1,
000009;Ten Boer;Groningen;334363;14.8,
000010;Delfzijl;Groningen;437715;17.6,
000014;Groningen;Groningen;931819;16.5,
000015;Grootegast;Groningen;223353;19.4,
000017;Haren;Groningen;598465;27.4,
000018;Hoogezand-Sappemeer;Groningen;626714;15.8,
000022;Leek;Groningen;445444;19.8,
000025;Marum;Groningen;334353;23.1,
000034;Almere;Flevoland;751918;28.4,
000037;Stadskanaal;Groningen;417415;15.3,
000040;Slochteren;Groningen;245352;21.5,
000047;Veendam;Groningen;536514;17.6,
000048;Vlagtwedde;Groningen;328452;19,
000024;Loppersum;Groningen;225341;15.2,
000050;Zeewolde;Flevoland;561554;39.6,
000051;Skarsterlân;Friesland;434354;25.2,
000053;Winsum;Groningen;344353;15.6,
000055;Boarnsterhim;Friesland;344344;25.5,
000056;Zuidhorn;Groningen;343363;17.3,
000058;Dongeradeel;Friesland;314324;15.2,
000059;Achtkarspelen;Friesland;314313;14.9,
000060;Ameland;Friesland;336393;29.7,
000063;het Bildt;Friesland;314432;19.4,
000070;Franekeradeel;Friesland;425432;20.5,
000072;Harlingen;Friesland;526514;22,
000074;Heerenveen;Friesland;646525;21,
000079;Kollumerland en Nieuwkruisland;Friesland;314322;17.2,
000080;Leeuwarden;Friesland;934719;16.1,
000081;Leeuwarderadeel;Friesland;435444;17.7,
000082;Lemsterland;Friesland;444444;31.1,
000085;Ooststellingwerf;Friesland;326333;20.4,
000086;Opsterland;Friesland;334343;19.2,
000088;Schiermonnikoog;Friesland;358472;22.4,
000090;Smallingerland;Friesland;635516;15.6,
000093;Terschelling;Friesland;266381;29.6,
000096;Vlieland;Friesland;256471;28.1,
000098;Weststellingwerf;Friesland;426432;25.8,
000106;Assen;Drenthe;744517;19.3,
000109;Coevorden;Drenthe;336424;27.4,
000114;Emmen;Drenthe;425415;17.7,
000118;Hoogeveen;Drenthe;525426;21.1,
000119;Meppel;Drenthe;644536;26.2,
000140;Littenseradiel;Friesland;243362;22.7,
000141;Almelo;Overijssel;724917;21.8,
000147;Borne;Overijssel;655456;25,
000148;Dalfsen;Overijssel;344373;26.5,
000150;Deventer;Overijssel;844827;21.3,
000153;Enschede;Overijssel;924918;19.5,
000158;Haaksbergen;Overijssel;545555;28.8,
000160;Hardenberg;Overijssel;323354;22.7,
000163;Hellendoorn;Overijssel;435364;23,
000164;Hengelo;Overijssel;844828;22.1,
000166;Kampen;Overijssel;622555;17.8,
000168;Losser;Overijssel;436545;25.2,
000171;Noordoostpolder;Flevoland;433554;29.2,
000173;Oldenzaal;Overijssel;645637;27,
000175;Ommen;Overijssel;345363;25.6,
000177;Raalte;Overijssel;445363;29.7,
000180;Staphorst;Overijssel;321373;18.4,
000183;Tubbergen;Overijssel;333373;33.7,
000184;Urk;Flevoland;511376;6.3,
000189;Wierden;Overijssel;444364;29.3,
000193;Zwolle;Overijssel;852628;19.7,
000196;Rijnwaarden;Gelderland;335444;23.5,
000197;Aalten;Gelderland;425463;21.9,
000200;Apeldoorn;Gelderland;855638;26.2,
000202;Arnhem;Gelderland;943918;19.9,
000203;Barneveld;Gelderland;541464;27.6,
000209;Beuningen;Gelderland;564555;29.2,
000213;Brummen;Gelderland;447554;27.9,
000214;Buren;Gelderland;364373;35.5,
000216;Culemborg;Gelderland;763835;27.6,
000221;Doesburg;Gelderland;546715;20.5,
000222;Doetinchem;Gelderland;545546;23.7,
000225;Druten;Gelderland;453564;30.2,
000226;Duiven;Gelderland;654555;30.1,
000228;Ede;Gelderland;753647;27.2,
000230;Elburg;Gelderland;443364;22.9,
000232;Epe;Gelderland;447554;28.4,
000233;Ermelo;Gelderland;566456;28,
000236;Geldermalsen;Gelderland;463464;34.6,
000241;Groesbeek;Gelderland;457444;21.7,
000243;Harderwijk;Gelderland;653747;29.8,
000244;Hattem;Gelderland;455465;20.9,
000246;Heerde;Gelderland;446364;22.5,
000252;Heumen;Gelderland;476464;27.9,
000262;Lochem;Gelderland;468464;33.3,
000263;Maasdriel;Gelderland;354473;34.7,
000265;Millingen aan de Rijn;Gelderland;435544;20.7,
000267;Nijkerk;Gelderland;563565;31,
000268;Nijmegen;Gelderland;943919;16.1,
000269;Oldebroek;Gelderland;433374;16.1,
000273;Putten;Gelderland;553465;30.1,
000274;Renkum;Gelderland;588545;28.1,
000275;Rheden;Gelderland;658536;23.3,
000277;Rozendaal;Gelderland;598586;47.7,
000279;Scherpenzeel;Gelderland;552375;32.8,
000281;Tiel;Gelderland;643917;29.1,
000282;Ubbergen;Gelderland;367454;22.8,
000285;Voorst;Gelderland;456364;31.6,
000289;Wageningen;Gelderland;743847;16.9,
000293;Westervoort;Gelderland;644626;22.7,
000294;Winterswijk;Gelderland;626546;27.6,
000296;Wijchen;Gelderland;654445;27.6,
000297;Zaltbommel;Gelderland;452564;25.3,
000299;Zevenaar;Gelderland;646546;26.1,
000301;Zutphen;Gelderland;744627;18.6,
000302;Nunspeet;Gelderland;444365;24,
000303;Dronten;Flevoland;442643;36.1,
000304;Neerijnen;Gelderland;252373;31.6,
000307;Amersfoort;Utrecht;972949;26.7,
000308;Baarn;Utrecht;796657;35.4,
000310;De Bilt;Utrecht;696666;32.9,
000312;Bunnik;Utrecht;495575;31.4,
000313;Bunschoten;Utrecht;541476;28.3,
000317;Eemnes;Utrecht;584576;39.8,
000321;Houten;Utrecht;791576;31.2,
000327;Leusden;Utrecht;685576;35.6,
000331;Lopik;Utrecht;352473;32.3,
000335;Montfoort;Utrecht;473475;36.9,
000339;Renswoude;Utrecht;351374;37.2,
000340;Rhenen;Utrecht;554555;28.6,
000342;Soest;Utrecht;685757;38.3,
000344;Utrecht;Utrecht;961919;21.5,
000345;Veenendaal;Utrecht;942737;26.5,
000351;Woudenberg;Utrecht;563475;30,
000352;Wijk bij Duurstede;Utrecht;574465;34,
000353;IJsselstein;Utrecht;882857;34.5,
000355;Zeist;Utrecht;784847;31.7,
000356;Nieuwegein;Utrecht;865947;27.6,
000358;Aalsmeer;Noord-Holland;583685;45.7,
000361;Alkmaar;Noord-Holland;955839;23.9,
000362;Amstelveen;Noord-Holland;995968;35.2,
000363;Amsterdam;Noord-Holland;963919;19.1,
000365;Graft-De Rijp;Noord-Holland;375473;39.4,
000370;Beemster;Noord-Holland;485474;44.2,
